ID,Applicant_Name,Gender,District,State,Pincode,Ownership,GovtID_Type,ID_Number,Category,Load_Applied,Date_of_Application,Date_of_Approval,Modified_Date,Status,Reviewer_ID,Reviewer_Name,Reviewer_Comments
18,Shray Amble,Female,East,Tamil Nadu,183225,INDIVIDUAL,PASSPORT,yt6800aBjb,Residential,8,4/28/2025,5/3/2025,5/5/2025,Approved,3338,Biju Bhalla,Installation pending
19,Aarna Walla,Female,East,Tamil Nadu,911076,INDIVIDUAL,PASSPORT,Gn9190FeBH,Commercial,3,6/25/2025,6/26/2025,6/30/2025,Approved,3564,Nirvaan Char,Installation completed
20,Shayak Kohli,Female,South,Tamil Nadu,515371,INDIVIDUAL,PAN,MV7319VXPx,Residential,10,5/13/2025,5/19/2025,5/24/2025,Pending,7699,Samarth Sidhu,KYC failed
21,Armaan Ben,Male,West,Tamil Nadu,761676,INDIVIDUAL,PASSPORT,gt2938UvoS,Commercial,5,5/22/2025,5/28/2025,5/31/2025,Approved,9041,Neelofar Gour,Documents Verification in progress
22,Indranil Suresh,Female,North,Tamil Nadu,540734,INDIVIDUAL,AADHAR,No3225xKgf,Residential,10,7/12/2025,7/20/2025,7/25/2025,Approved,4193,Rohan Chadha,Installation pending
23,Diya Iyer,Male,South,Tamil Nadu,239459,JOINT,PASSPORT,Tf9071JUPK,Commercial,3,5/10/2025,5/12/2025,5/17/2025,Connection Released,6783,Ishita Barad,Documents Verification in progress
24,Yuvraj  Tiwari,Female,South,Tamil Nadu,476473,INDIVIDUAL,AADHAR,EN9739Imwd,Residential,8,6/2/2025,6/8/2025,6/13/2025,Pending,3311,Manikya Kapoor,Installation pending
25,Ivana Venkataraman,Female,West,Tamil Nadu,856738,JOINT,AADHAR,Wp3945zNdk,Commercial,2,4/30/2025,5/9/2025,5/13/2025,Rejected,3440,Madhav Desai,Installation completed
26,Jayan Ahluwalia,Female,South,Tamil Nadu,639169,JOINT,PASSPORT,pc5422ihCR,Residential,5,6/19/2025,6/26/2025,6/27/2025,Approved,4967,Rania Uppal,Installation pending
27,Gatik Sampath,Male,West,Tamil Nadu,472609,JOINT,PASSPORT,xA8019zwPH,Residential,10,5/4/2025,5/10/2025,5/12/2025,Pending,6229,Nitya Chakraborty,KYC failed
28,Zaina Chopra,Female,East,Tamil Nadu,721857,INDIVIDUAL,AADHAR,He7301nhjp,Residential,7,6/28/2025,7/3/2025,7/4/2025,Pending,2491,Piya Arora,KYC failed
29,Mannat Varma,Male,North,Tamil Nadu,990817,JOINT,PASSPORT,hR5206PLlG,Residential,9,7/18/2025,7/22/2025,7/26/2025,Approved,6666,Anvi Sastry,Installation pending
30,Vritika Soman,Male,South,Tamil Nadu,37947,JOINT,AADHAR,fL7796ACwb,Commercial,10,5/17/2025,5/19/2025,5/22/2025,Connection Released,1961,Yashvi Mangat,KYC failed
31,Kimaya Kapur,Female,North,Tamil Nadu,765669,INDIVIDUAL,PASSPORT,Cy0689VBcv,Residential,7,6/25/2025,7/5/2025,7/7/2025,Rejected,6602,Yashvi Chauhan,Installation completed
32,Aarna Sengupta,Male,South,Tamil Nadu,375497,JOINT,AADHAR,TF5529gCfH,Residential,4,6/19/2025,6/27/2025,7/1/2025,Approved,7102,Rasha Sarma,Installation pending
33,Shalv Aggarwal,Male,East,Tamil Nadu,736082,JOINT,PASSPORT,ud2489QsdO,Commercial,3,7/11/2025,7/14/2025,7/15/2025,Connection Released,7174,Aaryahi Atwal,KYC failed
34,Madhup Rama,Male,North,Tamil Nadu,103425,INDIVIDUAL,VOTER_ID,qL6235XVBL,Residential,1,6/8/2025,6/10/2025,6/15/2025,Approved,2378,Miraan Gokhale,Documents Verification in progress
35,Hridaan Jain,Male,East,Tamil Nadu,861865,INDIVIDUAL,PASSPORT,Pr7597nVQI,Commercial,5,7/24/2025,8/3/2025,8/7/2025,Connection Released,6704,Riya Bajaj,KYC failed
36,Zeeshan Sundaram,Male,South,Tamil Nadu,11832,JOINT,VOTER_ID,gz0014DgkE,Residential,2,5/2/2025,5/9/2025,5/10/2025,Approved,2230,Baiju Ram,Installation completed
37,Myra Dugal,Female,North,Tamil Nadu,209146,JOINT,AADHAR,xg3160qZJu,Residential,9,6/26/2025,6/28/2025,6/29/2025,Pending,2262,Priyansh Gara,Documents Verification in progress
38,Kashvi Manne,Male,East,Tamil Nadu,819684,INDIVIDUAL,VOTER_ID,Sk6024AnVG,Residential,10,5/7/2025,5/8/2025,5/13/2025,Rejected,4784,Khushi Gulati,Documents Verification in progress
39,Priyansh Bedi,Female,North,Tamil Nadu,802594,INDIVIDUAL,PAN,AF7607wYzT,Residential,2,6/20/2025,6/25/2025,6/27/2025,Approved,8912,Vedika Kade,Documents Verification in progress
40,Ryan Kar,Male,North,Tamil Nadu,695865,INDIVIDUAL,PASSPORT,GD3708UlEf,Commercial,7,6/17/2025,6/20/2025,6/22/2025,Rejected,8833,Himmat Dhar,Documents Verification in progress
41,Hridaan Lall,Male,North,Tamil Nadu,257949,INDIVIDUAL,PASSPORT,PU3138igCJ,Residential,4,5/25/2025,5/27/2025,5/30/2025,Pending,7426,Vardaniya Goda,KYC failed
42,Seher Varughese,Female,South,Tamil Nadu,314685,INDIVIDUAL,PAN,Yt8770ErLQ,Residential,8,7/17/2025,7/23/2025,7/27/2025,Pending,2330,Dharmajan Goyal,KYC failed
43,Tushar Choudhary,Female,North,Tamil Nadu,502816,INDIVIDUAL,PASSPORT,Du3001khxf,Residential,4,5/30/2025,6/5/2025,6/7/2025,Connection Released,1255,Nitara Bajaj,KYC failed
44,Zoya Warrior,Male,South,Tamil Nadu,450756,JOINT,PASSPORT,ap7712GaiX,Commercial,2,6/27/2025,6/29/2025,6/30/2025,Approved,4463,Chirag Tak,KYC failed
45,Bhavin Gopal,Female,North,Tamil Nadu,9596,JOINT,AADHAR,Ym2198mxWT,Residential,8,5/29/2025,6/3/2025,6/5/2025,Connection Released,2569,Kiaan Borde,KYC failed
46,Vanya Devi,Male,West,Tamil Nadu,355024,JOINT,PAN,Mo5619ahdJ,Commercial,7,5/9/2025,5/13/2025,5/14/2025,Rejected,1728,Dishani Lata,Installation pending
47,Aradhya Keer,Male,East,Tamil Nadu,578389,INDIVIDUAL,AADHAR,MH0809BMBF,Residential,2,5/25/2025,5/27/2025,5/30/2025,Connection Released,4570,Ehsaan Sandhu,Installation pending
48,Kismat Gala,Male,South,Tamil Nadu,805927,INDIVIDUAL,AADHAR,eV3396Oiov,Commercial,9,5/3/2025,5/7/2025,5/9/2025,Connection Released,4785,Eva Din,Installation completed
49,Raghav Badal,Male,South,Tamil Nadu,457470,INDIVIDUAL,AADHAR,LA4898cOXF,Commercial,1,6/29/2025,7/9/2025,7/12/2025,Connection Released,3815,Ela Lalla,Installation pending
50,Manjari Chandra,Female,West,Tamil Nadu,703238,JOINT,VOTER_ID,vp2930epqI,Residential,4,6/22/2025,6/27/2025,7/1/2025,Pending,3155,Divit Jain,KYC failed
51,Parinaaz Loke,Female,North,Tamil Nadu,141604,JOINT,VOTER_ID,Fb9658vCWd,Commercial,4,5/4/2025,5/13/2025,5/16/2025,Pending,7040,Anvi Gala,Documents Verification in progress
52,Indranil Shan,Female,West,Tamil Nadu,27202,JOINT,VOTER_ID,UG2263wyqX,Residential,10,4/19/2025,4/28/2025,4/30/2025,Rejected,7599,Aniruddh Saha,Documents Verification in progress
53,Rohan Ramaswamy,Male,North,Tamil Nadu,296559,INDIVIDUAL,PAN,TD3853cbGg,Residential,4,6/11/2025,6/20/2025,6/22/2025,Approved,5725,Manikya Jha,Installation completed
54,Myra Sabharwal,Female,West,Tamil Nadu,231852,JOINT,PAN,BG5621iYfN,Commercial,7,7/7/2025,7/10/2025,7/15/2025,Rejected,2904,Adira Arya,Installation completed
55,Biju Dey,Male,West,Tamil Nadu,51751,JOINT,VOTER_ID,xj8938nSbi,Residential,1,7/8/2025,7/13/2025,7/17/2025,Connection Released,9539,Fateh Buch,Installation pending
56,Jayesh Brar,Female,South,Tamil Nadu,93863,JOINT,PAN,tR5145eLjn,Residential,3,7/19/2025,7/20/2025,7/22/2025,Pending,2509,Devansh Char,Documents Verification in progress
57,Aarav Shroff,Female,North,Tamil Nadu,970536,INDIVIDUAL,PAN,ib6014ukdG,Commercial,4,4/23/2025,5/1/2025,5/4/2025,Rejected,5337,Pari Goswami,Installation pending
58,Farhan Raval,Male,West,Tamil Nadu,701294,JOINT,PAN,mO1871FMSt,Residential,3,6/16/2025,6/26/2025,6/29/2025,Pending,7212,Onkar Mammen,Documents Verification in progress
59,Saksham Andra,Male,West,Tamil Nadu,240207,INDIVIDUAL,PASSPORT,fl4950uMei,Residential,9,7/10/2025,7/12/2025,7/15/2025,Approved,6377,Onkar Deo,KYC failed
60,Ishita Balay,Male,East,Tamil Nadu,447097,JOINT,PASSPORT,rU6039moxF,Commercial,5,4/26/2025,4/29/2025,4/30/2025,Approved,5973,Anvi Malhotra,KYC failed
61,Ela Contractor,Female,West,Tamil Nadu,463906,INDIVIDUAL,PAN,zr8588yDMI,Residential,1,5/2/2025,5/7/2025,5/9/2025,Connection Released,6114,Samar Hora,KYC failed
62,Shray Shetty,Male,North,Tamil Nadu,971684,INDIVIDUAL,AADHAR,MG0206lONT,Residential,1,6/4/2025,6/5/2025,6/6/2025,Pending,7840,Prisha Walia,Installation pending
63,Zoya Vyas,Male,North,Tamil Nadu,168652,JOINT,PASSPORT,FA6115wtEL,Residential,6,4/26/2025,4/27/2025,4/30/2025,Rejected,6371,Kaira Chana,Installation completed
64,Zara Kade,Male,North,Tamil Nadu,477599,INDIVIDUAL,AADHAR,Qz4052TzRS,Residential,10,5/26/2025,6/4/2025,6/6/2025,Rejected,4802,Miraya Gandhi,Installation completed
65,Dharmajan Gera,Female,North,Tamil Nadu,369602,JOINT,VOTER_ID,wY4303faJi,Residential,9,7/11/2025,7/18/2025,7/21/2025,Rejected,7739,Anahita Babu,Installation completed
66,Saksham Chandran,Male,West,Tamil Nadu,770073,JOINT,PASSPORT,pF6637dQtG,Residential,4,7/2/2025,7/10/2025,7/12/2025,Connection Released,3797,Arnav Vyas,Installation completed
67,Zoya Bumb,Male,West,Tamil Nadu,434114,INDIVIDUAL,AADHAR,bw6229xqfs,Residential,5,5/22/2025,5/31/2025,6/3/2025,Pending,8677,Aayush Dey,KYC failed
68,Onkar Chandra,Male,East,Tamil Nadu,389753,INDIVIDUAL,PASSPORT,RZ1754UzeZ,Residential,2,4/29/2025,5/5/2025,5/6/2025,Pending,6786,Heer Chandran,Installation completed
69,Mamooty Iyengar,Male,South,Tamil Nadu,30088,INDIVIDUAL,PAN,UY3830RtDJ,Commercial,10,7/11/2025,7/20/2025,7/21/2025,Connection Released,9720,Aarav Rattan,Installation completed
70,Divit Baral,Male,South,Tamil Nadu,4858,INDIVIDUAL,PASSPORT,lJ8167gUBb,Residential,1,6/11/2025,6/15/2025,6/16/2025,Rejected,1130,Yasmin Dhawan,Installation completed
71,Rhea Yohannan,Female,West,Tamil Nadu,681217,JOINT,VOTER_ID,gd7363kUdi,Commercial,10,7/22/2025,7/23/2025,7/24/2025,Approved,4974,Zara Rau,Documents Verification in progress
72,Amira Basu,Male,West,Tamil Nadu,553407,JOINT,PAN,gk9126vpTY,Commercial,10,4/25/2025,5/2/2025,5/5/2025,Pending,3919,Armaan Mann,Installation pending
73,Aaryahi Hayer,Female,East,Tamil Nadu,623166,INDIVIDUAL,PASSPORT,oL1100HHnu,Commercial,3,5/26/2025,5/31/2025,6/1/2025,Approved,3857,Elakshi Sharma,KYC failed
74,Abram Dhar,Female,South,Tamil Nadu,507580,INDIVIDUAL,PASSPORT,GO2517uzlX,Commercial,1,7/9/2025,7/18/2025,7/22/2025,Rejected,1331,Jivika Golla,KYC failed
75,Fateh Kapoor,Female,West,Tamil Nadu,206704,INDIVIDUAL,AADHAR,pN1218mURb,Residential,4,6/17/2025,6/22/2025,6/27/2025,Approved,2129,Nitya Tandon,KYC failed
76,Charvi Sami,Male,North,Tamil Nadu,248660,INDIVIDUAL,PASSPORT,OS5862chem,Commercial,4,7/10/2025,7/19/2025,7/21/2025,Approved,5937,Nirvi Bhalla,Documents Verification in progress
77,Bhavin Ratti,Female,West,Tamil Nadu,254810,JOINT,AADHAR,rE3229lAYv,Commercial,1,6/23/2025,7/2/2025,7/4/2025,Approved,1745,Aaina Kala,KYC failed
78,Khushi Hayre,Female,West,Tamil Nadu,333666,JOINT,VOTER_ID,DR6436nhrt,Commercial,3,5/23/2025,5/25/2025,5/27/2025,Connection Released,4774,Kabir Chanda,KYC failed
79,Khushi Shroff,Male,North,Tamil Nadu,485300,JOINT,PASSPORT,ku7258tVCR,Residential,5,6/2/2025,6/9/2025,6/12/2025,Rejected,8132,Lakshit Kala,Documents Verification in progress
80,Farhan Loyal,Male,South,Tamil Nadu,973747,JOINT,PASSPORT,Ll7784wEJU,Residential,3,4/16/2025,4/25/2025,4/30/2025,Pending,7892,Anvi Gopal,Installation completed
81,Ela Rastogi,Female,East,Tamil Nadu,798747,JOINT,PAN,Ks0911BoEY,Residential,4,5/2/2025,5/3/2025,5/5/2025,Pending,1650,Nehmat Roy,Installation pending
82,Jayesh Sami,Male,West,Tamil Nadu,866677,INDIVIDUAL,AADHAR,ru5759WSCK,Commercial,10,4/28/2025,5/2/2025,5/6/2025,Rejected,7556,Anaya Shanker,Installation pending
83,Shanaya Ahuja,Male,North,Tamil Nadu,582515,INDIVIDUAL,PAN,Cx5101LvMP,Residential,4,7/23/2025,8/1/2025,8/4/2025,Connection Released,1153,Rania Chakraborty,Installation completed
84,Biju Deshpande,Male,West,Tamil Nadu,997781,INDIVIDUAL,VOTER_ID,uO9297Xwna,Commercial,4,5/11/2025,5/16/2025,5/21/2025,Approved,1040,Saksham Yohannan,Documents Verification in progress
85,Shray Bhatnagar,Female,South,Tamil Nadu,783388,JOINT,PASSPORT,xf6443UIAr,Residential,8,6/7/2025,6/13/2025,6/17/2025,Approved,6187,Uthkarsh Kapadia,KYC failed
86,Shamik Tara,Male,West,Tamil Nadu,315223,JOINT,VOTER_ID,WM8039NBPd,Residential,7,4/20/2025,4/21/2025,4/26/2025,Connection Released,2190,Tushar Dube,Installation completed
87,Ojas Chaudhary,Male,South,Tamil Nadu,838413,JOINT,PAN,SB1336hxjQ,Commercial,5,6/4/2025,6/11/2025,6/14/2025,Pending,5390,Nitya Badami,Installation completed
88,Lagan Sood,Female,West,Tamil Nadu,446039,INDIVIDUAL,PAN,tL3387Ciwj,Commercial,8,4/19/2025,4/22/2025,4/26/2025,Pending,9253,Baiju Balasubramanian,Installation completed
89,Badal Sabharwal,Female,West,Tamil Nadu,456498,INDIVIDUAL,AADHAR,Is0963LAaC,Residential,2,6/28/2025,7/6/2025,7/11/2025,Rejected,8101,Sana Srinivasan,KYC failed
90,Anahita Gara,Female,North,Tamil Nadu,361897,JOINT,PAN,EB8884EEXZ,Residential,2,6/5/2025,6/14/2025,6/16/2025,Connection Released,4884,Onkar Varughese,Installation pending
91,Purab Kuruvilla,Female,North,Tamil Nadu,273009,INDIVIDUAL,VOTER_ID,Xi4045VBnW,Commercial,10,6/21/2025,6/25/2025,6/29/2025,Connection Released,9144,Kismat Varma,Installation completed
92,Raghav Samra,Male,East,Tamil Nadu,335173,INDIVIDUAL,PAN,Pf2369lUiB,Residential,10,4/28/2025,5/6/2025,5/10/2025,Pending,5436,Riaan Sem,Installation completed
93,Aayush Yadav,Male,North,Tamil Nadu,170220,JOINT,PASSPORT,tZ2278KAAn,Commercial,3,5/21/2025,5/22/2025,5/26/2025,Pending,3525,Anika Dyal,KYC failed
94,Ishaan Venkataraman,Male,South,Tamil Nadu,376355,JOINT,PASSPORT,ih3075pCRa,Residential,6,5/1/2025,5/5/2025,5/10/2025,Approved,6938,Ehsaan Hora,Documents Verification in progress
95,Inaaya  Contractor,Male,West,Tamil Nadu,936607,JOINT,VOTER_ID,pY8489LWqY,Commercial,5,4/30/2025,5/1/2025,5/4/2025,Connection Released,2801,Anvi Bora,Installation pending
96,Jayan Saini,Male,South,Tamil Nadu,419548,INDIVIDUAL,AADHAR,Ma3039WYsK,Commercial,2,5/23/2025,6/2/2025,6/7/2025,Pending,8564,Emir Yogi,KYC failed
97,Lavanya Manda,Female,West,Tamil Nadu,643106,JOINT,PAN,Wc6376Aqrb,Commercial,5,6/29/2025,7/3/2025,7/4/2025,Connection Released,3871,Eva Thakur,Installation pending
98,Anay Banerjee,Male,East,Tamil Nadu,963774,JOINT,PASSPORT,Lb8482aVKd,Commercial,9,5/29/2025,6/7/2025,6/10/2025,Approved,1347,Sahil Dixit,KYC failed
99,Azad Bobal,Male,North,Tamil Nadu,128323,JOINT,PAN,rO3093uJqs,Commercial,6,6/5/2025,6/14/2025,6/19/2025,Connection Released,4472,Ojas Roy,KYC failed
100,Zara Dyal,Female,West,Tamil Nadu,502654,INDIVIDUAL,PAN,DQ0576xQPu,Residential,7,5/27/2025,6/1/2025,6/6/2025,Approved,8482,Vihaan Madan,KYC failed
101,Lakshit Reddy,Female,West,Tamil Nadu,174949,INDIVIDUAL,PASSPORT,YV6368yoki,Residential,8,6/13/2025,6/18/2025,6/20/2025,Pending,9183,Rhea Ganesh,Documents Verification in progress
102,Ishaan Sahota,Male,East,Tamil Nadu,967633,JOINT,AADHAR,gI1824jkLM,Residential,5,6/1/2025,6/10/2025,6/13/2025,Rejected,7180,Dhanuk Halder,Installation pending
103,Rasha Raman,Female,East,Tamil Nadu,782677,JOINT,PAN,uU0181KFYc,Commercial,4,7/23/2025,7/31/2025,8/2/2025,Pending,8562,Aarna Bose,Installation pending
104,Riaan Sen,Female,North,Tamil Nadu,682410,JOINT,AADHAR,kG9124vzTw,Residential,1,5/15/2025,5/20/2025,5/22/2025,Connection Released,8537,Dhanush Mahal,KYC failed
105,Samiha Thaman,Male,East,Tamil Nadu,585500,JOINT,PASSPORT,uh9102jlWd,Commercial,10,7/16/2025,7/26/2025,7/27/2025,Connection Released,5095,Shanaya Subramanian,KYC failed
106,Sumer Choudhry,Male,West,Tamil Nadu,681206,INDIVIDUAL,PAN,lc9501SwwM,Residential,10,7/4/2025,7/6/2025,7/10/2025,Approved,1119,Charvi Sunder,KYC failed
107,Tushar Varghese,Male,North,Tamil Nadu,544729,INDIVIDUAL,VOTER_ID,gr1084XKIN,Residential,9,4/27/2025,4/30/2025,5/2/2025,Approved,7275,Bhamini Bhatia,KYC failed
108,Jayesh Boase,Female,East,Tamil Nadu,409838,INDIVIDUAL,VOTER_ID,vO2871iNHG,Commercial,1,5/27/2025,6/5/2025,6/7/2025,Connection Released,7928,Samarth Joshi,KYC failed
109,Sara Rajagopal,Female,North,Tamil Nadu,365896,JOINT,AADHAR,ss2017tvkx,Residential,2,5/14/2025,5/19/2025,5/23/2025,Rejected,9222,Madhup Edwin,Documents Verification in progress
110,Zara Kuruvilla,Female,South,Tamil Nadu,568136,JOINT,AADHAR,QC2904gTCD,Residential,7,5/12/2025,5/21/2025,5/26/2025,Rejected,1454,Urvi Ray,Documents Verification in progress
111,Lagan Butala,Female,West,Tamil Nadu,187287,JOINT,PASSPORT,sH9503CBEi,Commercial,4,6/26/2025,7/5/2025,7/6/2025,Pending,7740,Elakshi Sathe,Installation pending
112,Sana Bhardwaj,Female,East,Tamil Nadu,662655,JOINT,VOTER_ID,bX1351vzDb,Commercial,3,4/20/2025,4/30/2025,5/3/2025,Connection Released,1870,Vanya Srinivasan,Installation completed
113,Himmat Ramesh,Male,West,Tamil Nadu,219606,INDIVIDUAL,PAN,Kj5810Wejn,Commercial,4,5/7/2025,5/12/2025,5/17/2025,Approved,3009,Ryan Solanki,Installation completed
114,Vedika Dugal,Female,North,Tamil Nadu,928075,INDIVIDUAL,PASSPORT,lp8298PymC,Residential,7,6/7/2025,6/13/2025,6/18/2025,Rejected,1369,Kaira Kunda,Documents Verification in progress
115,Madhup Mangat,Male,South,Tamil Nadu,333800,JOINT,VOTER_ID,Or4647sYPb,Commercial,10,6/27/2025,7/5/2025,7/6/2025,Approved,4080,Shanaya Dhillon,Installation pending
116,Dhanush Ray,Female,East,Tamil Nadu,5173,INDIVIDUAL,PAN,BR1077xJKD,Commercial,3,5/16/2025,5/17/2025,5/20/2025,Pending,3504,Bhamini Raman,Documents Verification in progress
117,Tejas Batta,Male,West,Tamil Nadu,725759,INDIVIDUAL,PASSPORT,ge7117ZplQ,Residential,6,5/4/2025,5/9/2025,5/14/2025,Connection Released,2189,Stuvan Dayal,Installation pending
118,Ranbir Mani,Male,South,Tamil Nadu,319686,INDIVIDUAL,VOTER_ID,mb6663IPqW,Residential,5,5/4/2025,5/8/2025,5/9/2025,Connection Released,9201,Divyansh Ravi,KYC failed
119,Bhavin Jain,Female,North,Tamil Nadu,831333,INDIVIDUAL,VOTER_ID,CD8209jRJo,Commercial,9,6/23/2025,7/1/2025,7/5/2025,Rejected,5774,Taimur Issac,KYC failed
120,Rohan Vora,Female,South,Tamil Nadu,915747,JOINT,PAN,se4100eLqN,Commercial,5,4/27/2025,5/5/2025,5/9/2025,Approved,5633,Uthkarsh Srivastava,Installation completed
121,Bhavin Mahal,Female,West,Tamil Nadu,529223,JOINT,VOTER_ID,Wo9259TMMO,Commercial,4,5/7/2025,5/15/2025,5/18/2025,Rejected,5883,Mehul Chacko,Installation pending
122,Advika Wable,Male,West,Tamil Nadu,544447,INDIVIDUAL,PAN,Jj6200dycy,Residential,10,5/1/2025,5/7/2025,5/11/2025,Connection Released,7455,Vardaniya Kanda,Documents Verification in progress
123,Vihaan Bhatti,Male,East,Tamil Nadu,584138,JOINT,PAN,EI0175ShSz,Residential,10,7/15/2025,7/22/2025,7/25/2025,Connection Released,8412,Siya Kunda,Installation pending
124,Anya Thaker,Female,North,Tamil Nadu,391432,INDIVIDUAL,PAN,pJ7420TxiR,Residential,1,6/3/2025,6/8/2025,6/10/2025,Rejected,1462,Divit Baral,KYC failed
125,Rohan Bhalla,Male,South,Tamil Nadu,725468,JOINT,PAN,pZ8145hiSj,Commercial,9,7/24/2025,7/27/2025,7/30/2025,Rejected,6235,Neelofar Sami,Documents Verification in progress
126,Miraya Dua,Female,South,Tamil Nadu,62130,INDIVIDUAL,PASSPORT,SO1343bnkZ,Residential,9,6/9/2025,6/10/2025,6/11/2025,Approved,4191,Divyansh Kade,KYC failed
127,Badal Sekhon,Female,East,Tamil Nadu,436472,JOINT,VOTER_ID,Vb5470betA,Residential,4,5/20/2025,5/26/2025,5/31/2025,Pending,5706,Hiran Chandra,Installation completed
128,Kabir Ghosh,Male,South,Tamil Nadu,283068,INDIVIDUAL,VOTER_ID,LD6670yleT,Commercial,3,6/23/2025,7/2/2025,7/5/2025,Connection Released,9265,Romil Tella,Installation pending
129,Inaaya  Dugar,Female,North,Tamil Nadu,737590,JOINT,AADHAR,CH6311auGl,Commercial,8,6/25/2025,7/5/2025,7/9/2025,Rejected,5643,Kartik Agarwal,Documents Verification in progress
130,Adah Bhatnagar,Male,East,Tamil Nadu,375422,JOINT,PAN,Fp4116oiHX,Residential,5,6/11/2025,6/18/2025,6/22/2025,Rejected,8429,Zeeshan Srivastava,KYC failed
131,Biju Goel,Female,East,Tamil Nadu,461581,JOINT,PASSPORT,WX4614iaPI,Commercial,3,7/17/2025,7/24/2025,7/27/2025,Rejected,1881,Damini De,Documents Verification in progress
132,Zeeshan Ratti,Female,North,Tamil Nadu,2710,INDIVIDUAL,AADHAR,nK1128oWPc,Residential,4,5/26/2025,6/5/2025,6/6/2025,Approved,6205,Zeeshan Jayaraman,Documents Verification in progress
133,Uthkarsh Bhattacharyya,Male,South,Tamil Nadu,569696,INDIVIDUAL,AADHAR,wo8140avbs,Residential,3,5/4/2025,5/7/2025,5/10/2025,Connection Released,2918,Kaira Andra,Installation completed
134,Ehsaan Hora,Female,East,Tamil Nadu,590819,JOINT,AADHAR,Pf8141iVvD,Commercial,6,6/28/2025,7/2/2025,7/3/2025,Approved,4006,Vanya Varty,KYC failed
